ad_10m_wt_10m	ad_10m_ad_3m	ad_10m_wt_3m	wt_10m_ad_3m	wt_10m_wt_3m	ad_3m_wt_3m
0610009B22Rik	-0.302340711930796	-0.42239439173177	-0.0442608954550875	-0.120053679800973	0.258079816475709	0.378133496276682
0610010F05Rik	0.0504226642009009	-0.0185109050777009	0.0466518461331671	-0.0689335692786018	-0.00377081806773382	0.065162751210868
0610010K14Rik	-0.533645678443548	-0.31278739737538	-0.361445386520859	0.220858281068168	0.172200291922689	-0.048657989145479
0610012G03Rik	-0.357152956921119	-0.0890489779660137	-0.303240222399806	0.268103978955105	0.0539127345213133	-0.214191244433792
0610030E20Rik	-0.12665761628128	-0.0611388930707236	-0.19074579798631	0.0655187232105569	-0.0640881817050292	-0.129606904915586
0610040J01Rik	-0.0391016572227077	0.393029547476621	-0.0461184141658079	0.432131204699329	-0.00701675694310017	-0.439147961642429
1110002E22Rik	-0.32376099441131	-0.348692025582462	-0.565826822699239	-0.0249310311711521	-0.242065828287929	-0.217134797116777
1110004F10Rik	0.074185869143774	0.00319428939345582	-0.0452406571879979	-0.0709915797503182	-0.119426526331772	-0.0484349465814537
1110008P14Rik	-0.114497027997195	-0.38927158164903	-0.366537820781113	-0.274774553651834	-0.252040792783917	0.0227337608679169
1110012L19Rik	-0.157232743004884	-0.374517820068146	-0.0179066033444021	-0.217285077063263	0.139326139660481	0.356611216723744
1110032A03Rik	0.0853917339121257	0.00710848956373216	0.020477852593847	-0.0782832443483935	-0.0649138813182787	0.0133693630301149
1110032F04Rik	-0.0529510364438304	-0.159615654641351	-0.121623564720236	-0.106664618197521	-0.0686725282764054	0.0379920899211157
1110038F14Rik	-0.163481682988299	0.0622962270492783	-0.2007974190621	0.225777910037577	-0.0373157360738005	-0.263093646111378
1110051M20Rik	0.0578206820374554	0.0950372516090178	-0.000941939248613632	0.0372165695715624	-0.058762621286069	-0.0959791908576315
1110059E24Rik	-0.000773767929403752	-0.131333887225097	0.0347261211607708	-0.130560119295693	0.0354998890901745	0.166060008385868
1110059G10Rik	-0.153828564367495	0.02000109305709	-0.0678137894437582	0.173829657424585	0.086014774923737	-0.0878148825008483
1110065P20Rik	-0.100536460751149	0.0366292995156543	-0.119420619772096	0.137165760266803	-0.0188841590209473	-0.156049919287751
1190005I06Rik	-1.06600556186985	0.197854592724143	-0.0699928424299239	1.26386015459399	0.996012719439927	-0.267847435154067
1190007I07Rik	-0.0759719490593118	-0.228869899528188	-0.198320966276459	-0.152897950468876	-0.122349017217147	0.0305489332517289
1300017J02Rik	0.172366944354232	0.167504365350988	0.0595179634264834	-0.00486257900324458	-0.112848980927749	-0.107986401924504
1500009C09Rik	-0.0213321566549789	0.208541612217018	0.0373878375218779	0.229873768871997	0.0587199941768568	-0.17115377469514
1500009L16Rik	-0.0802576200778822	0.0516836508479429	-0.373809382015221	0.131941270925825	-0.293551761937339	-0.425493032863164
1500011B03Rik	-0.183479264173593	-0.218865795668484	-0.214722845752749	-0.0353865314948913	-0.0312435815791562	0.00414294991573502
1600012H06Rik	0.0556694637766749	-0.0609305931086413	0.0633731051598217	-0.116600056885316	0.00770364138314678	0.124303698268463
1600014C10Rik	0.0638861114867472	0.0551138189795202	-0.000486849331657616	-0.00877229250722704	-0.0643729608184049	-0.0556006683111778
1700001K19Rik	-0.025393891547249	-0.0914641294036432	0.00777048295757861	-0.0660702378563942	0.0331643745048276	0.0992346123612218
1700001L19Rik	-0.195280988692027	-0.166678223014803	-0.35029875683819	0.0286027656772238	-0.155017768146163	-0.183620533823386
1700001O22Rik	-0.232420514368122	-0.0780262159830348	-0.215848356675375	0.154394298385087	0.0165721576927476	-0.13782214069234
1700001P01Rik	-0.652391823605068	-0.195364794803045	-0.759524598484399	0.457027028802023	-0.107132774879331	-0.564159803681353
1700003E16Rik	-0.0615248228323976	-0.123549319066029	-0.0766184639406851	-0.0620244962336313	-0.0150936411082875	0.0469308551253438
1700003F12Rik	-0.0205986886956473	-0.025246442362125	-0.0553329284704564	-0.00464775366647769	-0.0347342397748091	-0.0300864861083314
1700007K13Rik	-0.636678689443668	-0.475697378100615	-0.633509087770356	0.160981311343052	0.00316960167331132	-0.157811709669741
