ad_10m_wt_10m	ad_10m_ad_3m	ad_10m_wt_3m	wt_10m_ad_3m	wt_10m_wt_3m	ad_3m_wt_3m
0610009B22Rik	0.755548015711668	0.536894599537152	0.998796226138999	0.977566834140808	0.829228965659574	0.617482275218512
0610010F05Rik	0.959564680349546	0.99778186034977	0.967430646315787	0.90643346169142	0.999980950574455	0.919180774885298
0610010K14Rik	0.202566671997439	0.59331963528528	0.484901393381707	0.799985482540181	0.890337930024682	0.996899862066162
0610012G03Rik	0.232552969248638	0.951162859092967	0.347802214395013	0.442520393876355	0.988192511469597	0.611297030131467
0610030E20Rik	0.228073110523085	0.743443754052421	0.0515594478939907	0.703608522609733	0.716735235448645	0.21363474033586
0610040J01Rik	0.978848984485147	0.0191299452496402	0.966293256186215	0.0114205788311065	0.999868424333996	0.010430137458744
1110002E22Rik	0.0313795994334253	0.021586634620628	0.00119708093334303	0.992389104937316	0.109973273423233	0.160625889482679
1110004F10Rik	0.84165672016673	0.999982503198728	0.956179153980268	0.857630154050171	0.572842601831508	0.947182629839466
1110008P14Rik	0.92702470829133	0.243064337387493	0.284073762209034	0.502672265031431	0.56775233312033	0.999319536098213
1110012L19Rik	0.89561814896574	0.401836115592186	0.999805149591435	0.773569142486675	0.923732224496856	0.439853679418858
1110032A03Rik	0.910493439920077	0.9999362822479	0.998493666624701	0.928759427958301	0.957104817900526	0.999577751382781
1110032F04Rik	0.981231774991456	0.687904960002663	0.827728192644208	0.874659328607771	0.960926395052434	0.992829415446042
1110038F14Rik	0.805056136782418	0.985087258390142	0.695985506640637	0.619047844299291	0.996669860688722	0.506458745458399
1110051M20Rik	0.898728615894259	0.682043085646271	0.999999447848765	0.969152654708917	0.894464253305729	0.675790745603905
1110059E24Rik	0.999999912254865	0.737286825304779	0.992363960776689	0.74056341032642	0.991855897573832	0.585823489326808
1110059G10Rik	0.274237860297157	0.993629276100128	0.820690963378876	0.195577527676145	0.698398031006414	0.685597617428363
1110065P20Rik	0.861429787782996	0.991372113480452	0.792041946733281	0.719114986347854	0.998781456185605	0.637582304642545
1190005I06Rik	0.427198865979201	0.99009320089217	0.999543688037071	0.298641496232081	0.479941186237554	0.976316077285551
1190007I07Rik	0.979039981329165	0.66364646125117	0.74910643590789	0.862411615986379	0.922021917240296	0.998548143121246
1300017J02Rik	0.607858560094069	0.627812373633493	0.970429286861762	0.999982258383049	0.840170633587332	0.856280303604217
1500009C09Rik	0.99300653017433	0.119243009366863	0.964979093310792	0.0821781825445017	0.883216066908983	0.224978386918453
1500009L16Rik	0.950239208442394	0.98560264194076	0.143643310487211	0.822227829243515	0.290422469592969	0.0893254559077756
1500011B03Rik	0.237139419278487	0.137440956239941	0.146703867762832	0.976618271538686	0.983618336293136	0.999959329867254
1600012H06Rik	0.930201856694352	0.911489511015556	0.902027586900063	0.615528899138771	0.999780069631698	0.569601122576639
1600014C10Rik	0.880337571733227	0.918062094562367	0.99999993111911	0.999599150047533	0.878044514551911	0.916154526432486
1700001K19Rik	0.999842448810602	0.992880116811108	0.999995474305071	0.9972695670725	0.999649741973376	0.990964575484373
1700001L19Rik	0.807475921404121	0.868095855677152	0.426601424985355	0.999123144993805	0.889975176252459	0.833268583060469
1700001O22Rik	0.569097315247098	0.968226759612912	0.622013003561061	0.812321126242263	0.999664757083822	0.856704775247828
1700001P01Rik	0.553329662781866	0.97555183777161	0.436708857972332	0.777782653139616	0.995725159739911	0.655890675139743
1700003E16Rik	0.91935455144948	0.606701725917127	0.859243978537228	0.917626415590726	0.998568827379706	0.96122526816113
1700003F12Rik	0.99990805392039	0.999830883098357	0.998239321228965	0.999998941835271	0.99956074417441	0.999714133599297
1700007K13Rik	0.0498785546339577	0.155689957663665	0.0510108465050144	0.848087653639634	0.999998410622343	0.855229138684859
