Gene	Direction
1110002E22Rik	All
1700007K13Rik	All
4930590J08Rik	All
4933405L10Rik	All
5330417C22Rik	All
5430427O19Rik	All
5730480H06Rik	All
9930111J21Rik2	All
A2m	All
A630001G21Rik	All
Aars2	All
Abca1	All
Abca9	All
Abcg4	All
Abhd4	All
Acaca	All
Acad10	All
Acat2	All
Acly	All
Acp4	All
Acsbg3	All
Adamts17	All
Adamts8	All
Adamtsl2	All
Adamtsl3	All
Adamtsl4	All
Adap2	All
Adcy3	All
Adcy8	All
Add3	All
Adgre1	All
Adipor1	All
Adra2c	All
Adrb1	All
Adrb3	All
Agbl4	All
Ago4	All
Ahcy	All
Aim2	All
Ak6	All
Akap13	All
Akap14	All
Akna	All
Akr1c18	All
Alb	All
Aldh1l2	All
Alox12b	All
Alox8	All
Amigo1	All
Amz1	All
Ang	All
Ankrd34b	All
Ankrd55	All
Anxa2	All
Anxa3	All
Anxa5	All
Apbb1ip	All
Apln	All
Apobec1	All
Apoe	All
Aqp4	All
Arap1	All
Arc	All
Arg1	All
Arhgap30	All
Arhgap45	All
Arhgap6	All
Arhgdib	All
Arhgef25	All
Arl4d	All
Armc9	All
Arpc1b	All
Arrdc1	All
Arsb	All
Asb10	All
Asb3	All
Asb6	All
Asic3	All
Aspg	All
Atad3a	All
Atg9b	All
Atp6v0d2	All
Atraid	All
Atxn1	All
Axl	All
B2m	All
B3gnt2	All
B3gnt7	All
B4galnt3	All
B4galt1	All
B4galt2	All
Bach1	All
Baiap2l2	All
Bambi	All
Banp	All
Bcl2a1a	All
Bcl2a1d	All
Bcl3	All
Bcl6b	All
Bcor	All
Bdnf	All
Bean1	All
Bend4	All
Bin2	All
Blnk	All
Bmp2k	All
Bmper	All
Brd8dc	All
Bst2	All
Btk	All
Bub1b	All
Bves	All
C1qa	All
C1qb	All
C1qc	All
C3ar1	All
C4b	All
Cacna1h	All
Cacnb1	All
Cacng2	All
Camk1g	All
Camkk1	All
Capg	All
Capns1	All
Capza1	All
Caskin1	All
Castor2	All
Cat	All
Cbx7	All
Ccdc177	All
Ccdc184	All
Ccdc27	All
Ccdc88c	All
Ccdc92	All
Ccdc92b	All
Ccer1	All
Ccl3	All
Ccl4	All
Ccl6	All
Ccn2	All
Ccnjl	All
Ccno	All
Cd109	All
Cd14	All
Cd151	All
Cd180	All
Cd200r4	All
Cd209c	All
Cd22	All
Cd274	All
Cd300c2	All
Cd33	All
Cd37	All
Cd3d	All
Cd44	All
Cd48	All
Cd52	All
Cd53	All
Cd63	All
Cd68	All
Cd81	All
Cd82	All
Cd84	All
Cd86	All
Cd9	All
Cdc42ep3	All
Cdc7	All
Cdhr3	All
Cdiptos	All
Cdk5r1	All
Cdkl1	All
Cdkn2a	All
Cdrt4	All
Cdyl2	All
Cebpa	All
Cebpe	All
Cela1	All
Ces3a	All
Cfh	All
Cflar	All
Ch25h	All
Chad	All
Chchd4	All
Chil1	All
Chrnb3	All
Chst10	All
Chst8	All
Cib2	All
Cldn8	All
Clec2d	All
Clec5a	All
Clec7a	All
Clgn	All
Clic1	All
Clu	All
Cmklr1	All
Cnn3	All
Cntrob	All
Coa6	All
Col26a1	All
Col27a1	All
Colgalt2	All
Coq10b	All
Cotl1	All
Cps1	All
Creg1	All
