Gene	Direction
C4orf19	All
ADAMTS15	All
ADAMTS9	All
ADAMTSL2	All
ADGRG7	All
AGR2	All
AJM1	All
ALDH1A3	All
ALDH1B1	All
ALKBH4	All
ALOX15B	All
AMOTL2	All
ANKLE1	All
ANKRD54	All
AOC1	All
ARHGAP6	All
ARL10	All
ATOH1	All
ATP5F1E	All
B2M	All
BBS2	All
BCL2L15	All
BRF2	All
CCDC124	All
CCL15-CCL14	All
CCL15	All
CCL23	All
CCM2L	All
CD300LF	All
CHAC1	All
CHAD	All
CHRNB1	All
CITED2	All
CLDN8	All
CLEC1A	All
CLIC5	All
CMPK2	All
CNKSR1	All
CSRNP1	All
CST7	All
CTSE	All
CTSS	All
CTSZ	All
CUBN	All
CYTL1	All
DCAKD	All
DDIT3	All
DEFA1B	All
DEFA5	All
DEFA1	All
DEFA3	All
DEFA4	All
DEFA6	All
DEFA5	All
DEFA1B	All
DEFA4	All
DEFA6	All
DEFA3	All
DEFA1	All
DEFA1B	All
DEFA3	All
DEFA4	All
DEFA6	All
DEFA5	All
DEFA1	All
DEFA5	All
DEFA4	All
DEFA6	All
DEFA3	All
DEFA1	All
DEFA1B	All
DEFA1B	All
DEFA5	All
DEFA6	All
DEFA1	All
DEFA4	All
DEFA3	All
DEFA5	All
DEFA6	All
DEFA4	All
DEFA3	All
DEFA1B	All
DEFA1	All
DEFA1B	All
DEFA1	All
DEFA3	All
DEFA6	All
DEFA4	All
DEFA5	All
DEFA3	All
DEFA6	All
DEFA1	All
DEFA5	All
DEFA4	All
DEFA1B	All
DIPK2B	All
DMAC1	All
DMBT1	All
DSG2	All
DSTN	All
EDNRA	All
ELF3	All
ENG	All
ENPEP	All
ENPP1	All
EPCAM	All
ERICH3	All
ERMARD	All
EZR	All
F11R	All
FABP2	All
FABP6	All
FAM186B	All
FAM83D	All
FAM83E	All
FDPS	All
FHIT	All
FJX1	All
GDF11	All
GFRA1	All
GINS4	All
GLB1L	All
ZNRD2	All
C3orf85	All
GNAI3	All
GNG12	All
GON4L	All
YY1AP1	All
GP5	All
GPR149	All
GPR182	All
GRIN3B	All
GRPR	All
GRWD1	All
HLA-E	All
HBEGF	All
HES7	All
HNF4A	All
HPGD	All
HRC	All
ING5	All
INSM2	All
JCHAIN	All
KIF7	All
KLK2	All
KLK3	All
KLK1	All
KNG1	All
KPNA7	All
KRT19	All
LAMTOR4	All
LEMD2	All
LEPR	All
LGALS4	All
LGALS13	All
LGALS14	All
LGALS16	All
LRRD1	All
LRSAM1	All
LYPD8	All
MANBAL	All
MCM2	All
MED27	All
MFSD2B	All
MGAM2	All
MISP	All
MPL	All
MROH2A	All
MS4A8	All
MTFMT	All
NAALADL1	All
NAT8	All
NAT8B	All
NKD1	All
NLE1	All
NOS3	All
NPEPL1	All
NR1H4	All
NSUN7	All
OTUD1	All
PAQR6	All
PARP9	All
PATZ1	All
PCDHGA10	All
PCED1A	All
PDF	All
PDZD11	All
PHOSPHO1	All
PIN4	All
PLA2G5	All
PLS1	All
PMP22	All
PPP1R14D	All
PRSS45P	All
PSME2	All
PTPN6	All
PYCARD	All
PYY	All
RBM48	All
RFXAP	All
SCN7A	All
SELENBP1	All
SERPINB1	All
SETD4	All
SLC10A2	All
SLC13A1	All
SLC1A6	All
SLC34A2	All
SLC51B	All
SLC5A8	All
SRMS	All
SST	All
STK17B	All
TAMM41	All
TBC1D10A	All
TBRG4	All
TCOF1	All
TGFB2	All
TGM7	All
THY1	All
TMIGD1	All
TRAPPC2L	All
TP53TG5	All
TSPAN1	All
TSPAN8	All
WFDC2	All
XPNPEP2	All
XRCC2	All
XYLT2	All
ZC3HAV1	All
ZC3HAV1L	All
ZFP28	All
ZNF446	All
ZNF48	All
ZNF777	All
C4orf19	Downreg
ADAMTS15	Downreg
ADAMTS9	Downreg
ADAMTSL2	Downreg
AJM1	Downreg
ALDH1A3	Downreg
ALKBH4	Downreg
ALOX15B	Downreg
AMOTL2	Downreg
ANKRD54	Downreg
ARHGAP6	Downreg
ARL10	Downreg
BBS2	Downreg
BCL2L15	Downreg
BRF2	Downreg
CCDC124	Downreg
CCM2L	Downreg
CHAC1	Downreg
CHRNB1	Downreg
CITED2	Downreg
CLEC1A	Downreg
CSRNP1	Downreg
DCAKD	Downreg
DDIT3	Downreg
DIPK2B	Downreg
DMAC1	Downreg
EDNRA	Downreg
ENG	Downreg
ENPP1	Downreg
ERICH3	Downreg
ERMARD	Downreg
FAM186B	Downreg
FAM83D	Downreg
FDPS	Downreg
FHIT	Downreg
FJX1	Downreg
GDF11	Downreg
GFRA1	Downreg
GLB1L	Downreg
ZNRD2	Downreg
GP5	Downreg
GPR149	Downreg
GPR182	Downreg
GRIN3B	Downreg
