A151	A152	A153	B157	B158	B159	C165	C166	C168	D174	D176	D177
0610009B22Rik	2.55762576347982	2.30910332250491	3.08386220680282	3.11167871340825	2.96313410798737	2.70523430192192	2.99226603639775	3.48956906524645	2.76683682135294	3.01892054166074	2.26716031010437	3.11135072429002
0610010F05Rik	3.60694593110238	3.76655016366209	3.74676650103509	3.75298113319694	3.68630558779406	3.68285539023699	3.67722181587157	3.99827189498805	3.74220707456872	3.65433217657009	3.62190323793835	3.82984741031504
0610010K14Rik	0.604191834676907	0.464388195588482	1.33049375200619	0.901955894003168	0.957511143875075	1.22812877578743	1.1637044562218	0.824660807040837	0.853507737311788	0.71025279792004	1.07298571015591	0.967714957257571
0610012G03Rik	3.02668419876456	3.06818922304634	2.91584915351119	2.84426067228475	3.17051495037456	3.2272945995588	2.83468121084064	2.73835237616602	2.96193173765975	3.0345277985424	3.31681517473806	2.66442730749747
0610030E20Rik	2.35497128398938	2.19757244925443	2.40259401762268	2.25400310516446	2.26655052047319	2.30969720340137	2.33542309304662	2.17976987962769	2.2890507574762	2.27872577898684	2.29879673407113	2.33481109405644
0610040J01Rik	1.58526204187583	1.20247208975068	1.55752001828054	1.20416344098273	1.62327362427219	1.62111072775037	1.18133747888441	1.12786792379063	1.3541278997786	1.48899930196109	1.38035468582005	1.39996650224093
1110002E22Rik	1.07329157611044	1.05430383525761	0.952363825726872	0.780504095665003	0.811320578011903	0.872385298609383	0.987932239477216	0.796887422599116	0.909470071486208	0.796801575983828	1.04989063685453	0.982347360173859
1110004F10Rik	4.66684442232895	4.51206762462164	4.55389616651837	4.59297810238857	4.29761871639647	4.50084110055286	4.48135264074379	4.65941212634422	4.5409575884111	4.59338473479969	4.41985312504493	4.55603990853492
1110008P14Rik	5.25110577094919	4.98868972725028	5.211978177684	5.0286293922129	4.66905187759701	4.9296719870638	5.0320910528467	4.81180001563869	5.15582852522311	5.21966581124546	5.10133122537892	4.79393848466277
1110012L19Rik	1.54992880948171	1.11929639794659	1.83178091222785	1.8565190651576	1.19807554852532	1.75312229208169	1.81679343374166	1.55323394220273	1.56184339702901	1.52188890724212	1.43584296899322	1.76092912108194
1110032A03Rik	2.74925283946916	2.70595572562559	2.54722048755287	2.74310833846239	2.4176896869407	2.6737721155003	2.8396716278714	2.81303580320339	2.54694074932678	2.48992684158701	2.72463725155886	2.77100594186744
1110032F04Rik	3.04000800332972	2.51727175296932	2.90185519798571	2.86416625317472	2.72063213622445	2.63547620578947	2.78044486379029	2.80867204415989	2.75448565293071	2.76129103838096	2.65191140113511	2.95162319650973
1110038F14Rik	2.12107998595663	1.73016973246491	1.70345984230494	1.73432603831415	2.23803352187118	1.57044902402851	1.53018788686812	1.9139452690622	1.73653861301243	1.85581715047347	1.74884959546555	1.84530682387197
1110051M20Rik	4.00632444310992	3.85963147394627	4.00477549659635	4.01053276422812	3.94274465131122	3.78178865092538	3.97459684237843	3.81037887759424	4.01446508911307	3.86012275760853	3.95482756977341	4.0313266473309
1110059E24Rik	2.20308972675318	2.06749778207079	2.43740736184957	2.48076036039709	2.18638606898647	2.16361873752007	2.42760735693896	2.54670129422558	2.31309731696985	2.3003454750066	2.34962095111087	2.17935322219923
1110059G10Rik	1.29577003515687	1.16557669623859	1.2011634463259	1.38930645679396	1.26258249162344	1.35143574297649	1.14725804210538	1.37794337888334	1.24205438555099	1.3050000497083	1.29796827127843	1.1530389342097
