,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster,db,Diagnosis
1,neutrophil mediated immunity (GO:0002446),86/487,8.36582634339391e-24,1.95484570663409e-20,0,0,4.158402322,220.9687132,CYFIP1;SERPINA3;CXCL6;ITGAM;B4GALT1;SLC44A2;HEXB;ITGB2;CTSZ;TCIRG1;CTSS;PYCARD;LAMP1;GM2A;PLAU;FTH1;LAMP2;CLEC5A;C3AR1;ITGAX;COTL1;CTSH;GUSB;B2M;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA3;ARG1;NFAM1;SLC11A1;RHOG;PLAUR;CYBB;CYBA;TNFRSF1B;ARHGAP45;VAMP8;EEF1A1;ACLY;RAB31;TYROBP;BIN2;NPC2;CAT;CHI3L1;PLEKHO2;DOCK2;S100A8;CD44;FTL;TLR2;CD63;GRN;STXBP3;HVCN1;PTAFR;MGST1;GNS;CST3;DPP7;CREG1;NCKAP1L;CD14;ARSB;LAIR1;VAT1;CTSA;GSN;DEFA4;IDH1;DEFA1;PRDX6;BST2;PTPRC;FCGR2A;IMPDH1;GLB1;PTPN6;MNDA;HPSE;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
2,neutrophil degranulation (GO:0043312),85/479,1.10225300627803e-23,1.95484570663409e-20,0,0,4.180279877,220.9783765,CYFIP1;SERPINA3;ITGAM;B4GALT1;SLC44A2;HEXB;ITGB2;CTSZ;TCIRG1;CTSS;PYCARD;LAMP1;GM2A;PLAU;FTH1;LAMP2;CLEC5A;C3AR1;ITGAX;COTL1;CTSH;GUSB;B2M;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA3;ARG1;NFAM1;SLC11A1;RHOG;PLAUR;CYBB;CYBA;TNFRSF1B;ARHGAP45;VAMP8;EEF1A1;ACLY;RAB31;TYROBP;BIN2;NPC2;CAT;CHI3L1;PLEKHO2;DOCK2;S100A8;CD44;FTL;TLR2;CD63;GRN;STXBP3;HVCN1;PTAFR;MGST1;GNS;CST3;DPP7;CREG1;NCKAP1L;CD14;ARSB;LAIR1;VAT1;CTSA;GSN;DEFA4;IDH1;DEFA1;PRDX6;BST2;PTPRC;FCGR2A;IMPDH1;GLB1;PTPN6;MNDA;HPSE;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
3,neutrophil activation involved in immune response (GO:0002283),85/483,1.9663784607522e-23,2.32491480009602e-20,0,0,4.13737529,216.315483,CYFIP1;SERPINA3;ITGAM;B4GALT1;SLC44A2;HEXB;ITGB2;CTSZ;TCIRG1;CTSS;PYCARD;LAMP1;GM2A;PLAU;FTH1;LAMP2;CLEC5A;C3AR1;ITGAX;COTL1;CTSH;GUSB;B2M;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA3;ARG1;NFAM1;SLC11A1;RHOG;PLAUR;CYBB;CYBA;TNFRSF1B;ARHGAP45;VAMP8;EEF1A1;ACLY;RAB31;TYROBP;BIN2;NPC2;CAT;CHI3L1;PLEKHO2;DOCK2;S100A8;CD44;FTL;TLR2;CD63;GRN;STXBP3;HVCN1;PTAFR;MGST1;GNS;CST3;DPP7;CREG1;NCKAP1L;CD14;ARSB;LAIR1;VAT1;CTSA;GSN;DEFA4;IDH1;DEFA1;PRDX6;BST2;PTPRC;FCGR2A;IMPDH1;GLB1;PTPN6;MNDA;HPSE;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
4,cellular response to cytokine stimulus (GO:0071345),72/456,2.623386864864e-17,2.32628830241815e-14,0,0,3.586444387,136.9285832,ITGB1;CD86;CSF3R;ITGAM;CSF1;DOCK8;ITGB2;AQP4;TNF;FGF2;MYLK3;CX3CL1;ICAM1;PYCARD;LRRTM3;LRRTM1;ITGAX;SOX9;JAK3;IL13RA1;IL4R;IFNGR1;GAB2;TNFRSF1B;OSMR;VAV1;TNFRSF1A;DCSTAMP;HCK;SFRP1;HCLS1;IRF8;CHI3L1;IL6ST;CSF1R;CEBPA;SELPLG;CCL3L1;PTAFR;TCF7;LEF1;CXCR4;CSF2RB;HIF1A;ZFP36L1;CCL15-CCL14;SBNO2;INPP5D;FLRT1;CCL4;CHAD;CCL3;S1PR1;HMOX1;ST3GAL6;CCL18;CCL15;EGR1;CCL23;TGFB1;IL10RB;STAT1;STAT3;ERBIN;CXCL10;TEC;AXL;PTPN9;PTPN6;PLP2;VIM;NFE2L2,All,GO_Biological_Process_2018,HET
5,positive regulation of endocytosis (GO:0045807),20/64,4.05964983013434e-11,2.8799155894973e-08,0,0,8.403536835,201.0742772,CD63;FCER1G;CD151;SLC11A1;CYBA;GATA2;CLU;TNF;DLL1;PYCARD;TF;AXL;PPT1;APOE;LDLRAP1;DOCK2;FCGR2B;B2M;LDLR;TSPAN1,All,GO_Biological_Process_2018,HET
6,cytokine-mediated signaling pathway (GO:0019221),73/633,1.4989555919182e-10,8.86132580755641e-08,0,0,2.472350884,55.9272529,ITGB1;CD86;CXCL6;CSF3R;ITGAM;CSF1;IRS1;ITGB2;TNF;FGF2;IFIT3;CX3CL1;ICAM1;PYCARD;LRRTM3;TRIM5;LRRTM1;ITGAX;JAK3;B2M;IL13RA1;IL4R;IFNGR1;GAB2;TNFRSF1B;OSMR;VAV1;TNFRSF1A;HLA-E;HCK;AIM2;OAS1;IRF8;SNRPA1;LCP1;IL6ST;CD44;CSF1R;CEBPA;CCL3L1;PELI3;PTAFR;CSF2RB;ADIPOR1;HIF1A;CCL15-CCL14;INPP5D;FLRT1;CCL4;CHAD;CCL3;S1PR1;HMOX1;CCL18;FCGR1A;FCGR1B;CCL15;EGR1;CCL23;TGFB1;IL10RB;STAT1;STAT3;MSN;BST2;CXCL10;TEC;CAPZA1;TNFSF8;PTPN6;PLP2;VIM;LTBR,All,GO_Biological_Process_2018,HET
7,regulation of cell proliferation (GO:0042127),79/740,1.03209609187912e-09,4.61869375946987e-07,0,0,2.268322233,46.93538431,CD86;CXCL6;CSF1;IRS1;CD81;PDCD5;LAMC2;TCIRG1;FGF2;IFIT3;CAPNS1;SIX4;FTH1;CTSH;SOX9;ADAMTS8;IER5;JAK3;CD33;KLF10;RHOG;P3H1;SOX11;GAB2;TNFRSF1B;OSMR;POU3F2;SIRT2;POU3F3;SSTR4;TGFBR1;TNFRSF1A;NME1;TGFBR2;HCK;SFRP1;TMIGD1;DDAH1;RARA;BTK;HCLS1;IL6ST;GAS8;HBEGF;CSF1R;CEBPA;CCL3L1;LEF1;DLL1;THBS1;ZFP36L1;GPNMB;ERBB3;PDPN;ZNF503;S1PR3;LYN;CCL23;TGFB1;EGR4;NOS3;EIF2AK2;CDC7;IGF1;ALOX15B;CXCL10;MLXIPL;NR4A3;TEC;FABP6;SST;BAMBI;FES;FABP7;BCL6B;PTPN6;LTBR;HSPA1B;HSPA1A,All,GO_Biological_Process_2018,HET
8,inflammatory response (GO:0006954),39/252,1.04171271710626e-09,4.61869375946987e-07,0,0,3.418326693,70.69919875,SERPINA3;CSF1R;CXCL6;NRROS;DHX8;CCL3L1;ITGB2;CXCR4;F11R;TNF;THBS1;HDAC9;CX3CL1;PIK3CG;CCL15-CCL14;CCL4;C3AR1;BLNK;CCL3;CCL18;JAK3;CCL15;LYN;CCL23;TGFB1;IL10RB;SLC11A1;NFAM1;STAT3;CD180;CYBB;CYBA;TNFRSF1B;TNFRSF1A;CXCL10;CHI3L1;LTBR;FCGR2B;S100A8,All,GO_Biological_Process_2018,HET
9,positive regulation of intracellular signal transduction (GO:1902533),58/479,2.0036744827942e-09,7.89670376719002e-07,0,0,2.592541327,51.92415164,RET;ITGB1;DDR1;CD86;NCF1;IRS1;SLC44A2;SECTM1;TREM2;TNF;FGF2;PIK3CG;AKAP13;TRIM5;RACK1;SOX9;EPHB2;EPHB3;MUL1;SOX11;ADRA2C;TNFRSF1B;RHOC;VAV1;TGFBR1;TNFRSF1A;ADRB3;TLR9;HCLS1;CHI3L1;S100A8;JCAD;HBEGF;CSF1R;ALOX12B;ADRB1;DDX60;THBS1;ERBB3;CCL4;CCL3;HMOX1;CD14;LYN;TGFB1;SEMA4D;EIF2AK2;CFLAR;IGF1;S100B;BST2;CXCL10;AXL;SPRY2;PTPN6;HPSE;LTBR;PIK3AP1,All,GO_Biological_Process_2018,HET
10,platelet degranulation (GO:0002576),25/124,4.71001847014601e-09,1.61281889669879e-06,0,0,4.677918676,89.69241993,LGALS3BP;TOR4A;SERPINA3;CD63;SPARC;PROS1;PLEK;CLU;THBS1;LAMP2;A2M;LYN;SRGN;TGFB1;ANXA5;IGF1;LHFPL2;TF;CD109;SELENOP;ALB;SERPING1;CD9;TAGLN2;TLN1,All,GO_Biological_Process_2018,HET
