"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","cluster","db","Diagnosis"
"1","antibacterial humoral response (GO:0019731)","9/35",3.42099858572385e-11,4.69361005961313e-08,0,0,37.2134197324415,896.78772679861,"DMBT1;DEFA6;DEFA4;DEFA5;DEFA3;KLK3;DEFA1;JCHAIN;HLA-E","All","GO_Biological_Process_2018","HET"
"2","membrane disruption in other organism (GO:0051673)","5/9",9.70092347451564e-09,6.65483350351773e-06,0,0,131.668882978723,2429.4284523403,"DEFA6;DEFA4;DEFA5;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"3","defense response to Gram-negative bacterium (GO:0050829)","8/71",4.11432092475299e-07,0.000188161610292037,0,0,13.5522951522952,199.267823184105,"PYCARD;DMBT1;DEFA6;DEFA4;DEFA5;DEFA3;DEFA1;LYPD8","All","GO_Biological_Process_2018","HET"
"4","innate immune response in mucosa (GO:0002227)","5/19",8.27691735283529e-07,0.00028389826520225,0,0,37.6006838905775,526.583479596255,"DEFA6;DEFA4;DEFA5;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"5","mucosal immune response (GO:0002385)","5/24",2.9091768766691e-06,0.000693252473999659,0,0,27.6987681970885,353.093935863602,"DEFA6;DEFA4;DEFA5;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"6","defense response to Gram-positive bacterium (GO:0050830)","7/65",3.03171635859909e-06,0.000693252473999659,0,0,12.8145161290323,162.826132516561,"DMBT1;DEFA6;DEFA4;DEFA5;DEFA3;DEFA1;HLA-E","All","GO_Biological_Process_2018","HET"
"7","cellular response to molecule of bacterial origin (GO:0071219)","7/84",1.69037437176834e-05,0.00331313376866594,0,0,9.64320625610948,105.959313493521,"PYCARD;DEFA6;DEFA4;DEFA5;NR1H4;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"8","cellular response to lipopolysaccharide (GO:0071222)","7/91",2.85397898757204e-05,0.00489457396368604,0,0,8.83646953405018,92.4666844244619,"PYCARD;DEFA6;DEFA4;DEFA5;NR1H4;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"9","antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)","5/49",0.000107344103172124,0.0163640121724616,0,0,11.9457205029014,109.177565704322,"DEFA6;DEFA4;DEFA5;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"10","defense response to bacterium (GO:0042742)","10/241",0.000121953273714748,0.0166570426496363,0,0,4.6308518439666,41.7326467960537,"PYCARD;DMBT1;DEFA6;DEFA4;DEFA5;DEFA3;DEFA1;HLA-E;LYPD8;JCHAIN","All","GO_Biological_Process_2018","HET"
"11","response to lipopolysaccharide (GO:0032496)","8/155",0.000133547718036443,0.0166570426496363,0,0,5.78341606913035,51.5941537872162,"PYCARD;DEFA6;NOS3;DEFA4;DEFA5;NR1H4;DEFA3;DEFA1","All","GO_Biological_Process_2018","HET"
"12","regulation of systemic arterial blood pressure (GO:0003073)","3/12",0.000182545176539817,0.0185477359765693,0,0,34.7333333333333,299.002347118429,"KLK1;KLK3;KLK2","All","GO_Biological_Process_2018","HET"
"13","bile acid and bile salt transport (GO:0015721)","4/30",0.000189262612005809,0.0185477359765693,0,0,16.1017501017501,138.030240444375,"FABP6;SLC10A2;NR1H4;SLC51B","All","GO_Biological_Process_2018","HET"
"14","artery morphogenesis (GO:0048844)","4/30",0.000189262612005809,0.0185477359765693,0,0,16.1017501017501,138.030240444375,"TGFB2;HPGD;ADAMTS9;ENG","All","GO_Biological_Process_2018","HET"
"15","lipid transport (GO:0006869)","6/91",0.00025221614604761,0.023069370158488,0,0,7.44460522176785,61.6802227150737,"FABP2;FABP6;SLC10A2;NR1H4;MFSD2B;SLC51B","All","GO_Biological_Process_2018","HET"
"16","cellular response to oxygen-containing compound (GO:1901701)","10/274",0.00034268033802704,0.0293848389858186,0,0,4.04516476237788,32.275206672133,"PYCARD;AOC1;DEFA6;DEFA4;DEFA5;NR1H4;DEFA3;DEFA1;EZR;LAMTOR4","All","GO_Biological_Process_2018","HET"
"17","organic hydroxy compound transport (GO:0015850)","4/36",0.000388840804657645,0.0296383102216827,0,0,13.0787037037037,102.698435311529,"FABP6;SLC10A2;NR1H4;SLC51B","All","GO_Biological_Process_2018","HET"
"18","zymogen activation (GO:0031638)","4/36",0.000388840804657645,0.0296383102216827,0,0,13.0787037037037,102.698435311529,"KLK1;KLK3;KLK2;TBC1D10A","All","GO_Biological_Process_2018","HET"
"19","negative regulation of cellular process (GO:0048523)","14/534",0.000708093835358623,0.0511318285322121,0,0,2.9009239363988,21.0402096676453,"CCL23;TGFB2;HPGD;NOS3;ALOX15B;KNG1;ING5;FABP6;SST;HNF4A;AGR2;ENPP1;TP53TG5;PTPN6","All","GO_Biological_Process_2018","HET"
"20","lymphocyte chemotaxis (GO:0048247)","4/44",0.000843844941339468,0.0551312028341786,0,0,10.4587301587302,74.0220998632802,"CCL15-CCL14;CCL23;DEFA1;CCL15","All","GO_Biological_Process_2018","HET"
"21","inorganic anion transport (GO:0015698)","4/44",0.000843844941339468,0.0551312028341786,0,0,10.4587301587302,74.0220998632802,"SLC13A1;CLIC5;SLC34A2;ENPP1","All","GO_Biological_Process_2018","HET"
"22","negative regulation of growth (GO:0045926)","6/120",0.00109796479504065,0.0684730772179895,0,0,5.54264002251618,37.7691952731517,"ING5;TGFB2;HNF4A;ENPP1;TP53TG5;ALOX15B","All","GO_Biological_Process_2018","HET"
"23","regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)","2/6",0.00135462319550902,0.0774392926765988,0,0,51.8403141361257,342.365458802739,"TGFB2;ENG","All","GO_Biological_Process_2018","HET"
"24","antigen processing and presentation of endogenous peptide antigen (GO:0002483)","2/6",0.00135462319550902,0.0774392926765988,0,0,51.8403141361257,342.365458802739,"B2M;HLA-E","All","GO_Biological_Process_2018","HET"
"25","eosinophil migration (GO:0072677)","3/24",0.00154218015352075,0.0783469250443442,0,0,14.8766917293233,96.3200061213025,"CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"26","eosinophil chemotaxis (GO:0048245)","3/24",0.00154218015352075,0.0783469250443442,0,0,14.8766917293233,96.3200061213025,"CCL15-CCL14;CCL23;CCL15","All","GO_Biological_Process_2018","HET"
"27","regulation of cell cycle G1/S phase transition (GO:1902806)","3/24",0.00154218015352075,0.0783469250443442,0,0,14.8766917293233,96.3200061213025,"PSME2;PTPN6;FAM83D","All","GO_Biological_Process_2018","HET"
